company,position,city,review_date,experience,rating_total,pros_text,cons_text,full_text,sentiment_label,source_url
Т-Банк,Специалист взыскания,Рязань,июнь 2026,Работал 1-2 года,4.0,"Работа предполагала общение с клиентами по определенным алгоритмам, по скриптам. И для меня это было большим преимуществом - вообще не тянуло экспериментировать и что-то придумывать. Зачем? Если есть уже работающие схемы? Зарплата зависела от того, сколько клиентов вернули банку займы после общения с тобой. Не всегда были удачные периоды, но в целом не было такого, чтобы сильно проседал по доходу - в целом выше среднего получал.","Иногда банально уставал от людей и их историй о том, почему они задолжали банку и почему не могут выплатить свои долги.","Работа предполагала общение с клиентами по определенным алгоритмам, по скриптам. И для меня это было большим преимуществом - вообще не тянуло экспериментировать и что-то придумывать. Зачем? Если есть уже работающие схемы? Зарплата зависела от того, сколько клиентов вернули банку займы после общения с тобой. Не всегда были удачные периоды, но в целом не было такого, чтобы сильно проседал по доходу - в целом выше среднего получал. Иногда банально уставал от людей и их историй о том, почему они задолжали банку и почему не могут выплатить свои долги.",positive,https://dreamjob.ru/employers/25607
Т-Банк,Старший менеджер по развитию среднего и крупного бизнеса,Москва,июнь 2026,Работаю 1-2 года,4.7,"Гибридный график , обеды за счет организации , своевременная оплата труда , различные компенсации например за проезд , всех сотрудников застраховали от рака , ДМС , есть возможность использовать льготное кредитование для своих , бесплатный доступ к тренажерным залам","Доход , премия выплачивается все дальше после квартала + 2 мес , а хотелось бы сразу по окончанию квартала . Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Гибридный график , обеды за счет организации , своевременная оплата труда , различные компенсации например за проезд , всех сотрудников застраховали от рака , ДМС , есть возможность использовать льготное кредитование для своих , бесплатный доступ к тренажерным залам Доход , премия выплачивается все дальше после квартала + 2 мес , а хотелось бы сразу по окончанию квартала . Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Торговый представитель,Пожаловаться Работал меньше года Москва,июнь 2026,Работал меньше года,3.8,"Оборудование выдаётся бесплатно, проездной так же, комфортное обучение, хороший доход","Увеличить штат кураторов, на период обучения очень важна обратная связь, которая на встречах за частую отсутствовала, при нестандартных ситуациях Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Оборудование выдаётся бесплатно, проездной так же, комфортное обучение, хороший доход Увеличить штат кураторов, на период обучения очень важна обратная связь, которая на встречах за частую отсутствовала, при нестандартных ситуациях Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",neutral,https://dreamjob.ru/employers/25607
Т-Банк,Ведущий менеджер по продажам среднему и крупному бизнесу,Москва,июнь 2026,Работал 1-2 года,4.5,"Крутой коллектив, интересный опыт работы, хорошие условия труда. Высокий уровень обучения и экспертизы.","Очень маленькая окладная часть в сравнении с предложениями в рынке. Часто меняющиеся руководство Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Нижний Новгород, Июнь 2026","Крутой коллектив, интересный опыт работы, хорошие условия труда. Высокий уровень обучения и экспертизы. Очень маленькая окладная часть в сравнении с предложениями в рынке. Часто меняющиеся руководство Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Нижний Новгород, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Специалист по организации и сопровождению инкассации,Пожаловаться Работаю меньше года Нижний Новгород,июнь 2026,Работаю меньше года,4.8,"Забота о сотрудниках, подарки к новому году, ДМС, страхование жизни и здоровья, удобное расположение офиса, безлимитный чай кофе печенье фрукты","Все устраивает. Очень строгая пропускная система, хотя для банка так положено Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Забота о сотрудниках, подарки к новому году, ДМС, страхование жизни и здоровья, удобное расположение офиса, безлимитный чай кофе печенье фрукты Все устраивает. Очень строгая пропускная система, хотя для банка так положено Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Главный специалист по работе с англоговорящими клиентами,Москва,июнь 2026,Работал 3-5 лет,2.7,"Наличие ДМС, возможность ротации в другие отделы, но даже такую возможность не всегда можно реализовать. Нормальная оплата труда. Наличие премирования за соответствие высоким показателям качества и скорости обработки коммуникаций.","Очень стрессовая работа из-за требований обрабатывать каждую коммуникацию с кл-том менее чем за 5 минут в среднем. Менеджеры очень жестко следят за показателями скорости и качества и постоянно требуют отчитываться за свои показатели. Очень сложно сохранять высокое качество обработки коммуникаций при требовании обрабатывать каждого клиента менее чем за 5 минут. Клиентов может быть несколько одновременно, причем это может быть несколько чатов одновременно со входящим звоноком. Невозможно поддерживать высокие показатели в таких ситуациях, что приводит к постоянным вычетам из премии. На полную премию лучше вообще никогда не рассчитывать. Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Нижний Новгород, Июнь 2026","Наличие ДМС, возможность ротации в другие отделы, но даже такую возможность не всегда можно реализовать. Нормальная оплата труда. Наличие премирования за соответствие высоким показателям качества и скорости обработки коммуникаций. Очень стрессовая работа из-за требований обрабатывать каждую коммуникацию с кл-том менее чем за 5 минут в среднем. Менеджеры очень жестко следят за показателями скорости и качества и постоянно требуют отчитываться за свои показатели. Очень сложно сохранять высокое качество обработки коммуникаций при требовании обрабатывать каждого клиента менее чем за 5 минут. Клиентов может быть несколько одновременно, причем это может быть несколько чатов одновременно со входящим звоноком. Невозможно поддерживать высокие показатели в таких ситуациях, что приводит к постоянным вычетам из премии. На полную премию лучше вообще никогда не рассчитывать. Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Нижний Новгород, Июнь 2026",negative,https://dreamjob.ru/employers/25607
Т-Банк,Менеджер по работе с юридическими лицами,Нижний Новгород,июнь 2026,Работал 3-5 лет,1.8,"Вознаграждение достойное График удобный и разъездной характер работы, можно самому выставлять графи к","Руководство нужно сменить, расторгают за один день без объяснения причин. Есть подозрения увольнение основанных на национальном признаке Не ценят рабочий труд и самих работников Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Июнь 2026","Вознаграждение достойное График удобный и разъездной характер работы, можно самому выставлять графи к Руководство нужно сменить, расторгают за один день без объяснения причин. Есть подозрения увольнение основанных на национальном признаке Не ценят рабочий труд и самих работников Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Июнь 2026",negative,https://dreamjob.ru/employers/25607
Т-Банк,Банковский представитель,,,Работаю 3-5 лет,2.5,"Возможность заработать в банке есть, но надо быть очень хорошим продажником, начинать под всех подстилаться (я про начальство) и быть терпилой, дабы тебя не штрафанули за одну не такую фразу, что здесь ОЧЕНЬ много.",,"Возможность заработать в банке есть, но надо быть очень хорошим продажником, начинать под всех подстилаться (я про начальство) и быть терпилой, дабы тебя не штрафанули за одну не такую фразу, что здесь ОЧЕНЬ много.",negative,https://dreamjob.ru/employers/25607
Т-Банк,Специалист по работе с клиентами,Москва,июнь 2026,Работал 1-2 года,4.2,"Атмосфера дружного коллектива, готовность наставников и руководителей помочь в любое, почти, время. Возможность для удалённой работы, роста ЗП через увеличения уровня знаний, много обучения, льготы","ЗП, консультация психолога за счёт Работодателя, психологически тяжело при работе с людьми. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Симферополь, Июнь 2026","Атмосфера дружного коллектива, готовность наставников и руководителей помочь в любое, почти, время. Возможность для удалённой работы, роста ЗП через увеличения уровня знаний, много обучения, льготы ЗП, консультация психолога за счёт Работодателя, психологически тяжело при работе с людьми. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Симферополь, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Представитель,Симферополь,июнь 2026,Работаю 1-2 года,4.7,Свобода в выборе графика. Хороший доход. Дружный коллектив . Есть возможность карьерного роста,"Коммуникации между сотрудниками и банком. А так, всё хорошо, можно зарабатывать. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Свобода в выборе графика. Хороший доход. Дружный коллектив . Есть возможность карьерного роста Коммуникации между сотрудниками и банком. А так, всё хорошо, можно зарабатывать. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Исполнительный матчинга товаров,Пожаловаться Работаю меньше года Москва,июнь 2026,Работаю меньше года,1.0,"Очень низкие тарифы оплаты, в прямом смысле копейки! Система не дает постоянно работать на одном задании, подключает обучение еще дешевле. Чтоб выйти на 15000 которые они заявляют , уходит много времени которое очень низко оплачивают.","Повысить оплату тарифы, стабильно держать задания на которых можно заработать. Как мне ответили в поддержке что все это работают автоматически программа, но а разве не человек эту программу пишет! Полезный отзыв Это полезный отзыв 5 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Очень низкие тарифы оплаты, в прямом смысле копейки! Система не дает постоянно работать на одном задании, подключает обучение еще дешевле. Чтоб выйти на 15000 которые они заявляют , уходит много времени которое очень низко оплачивают. Повысить оплату тарифы, стабильно держать задания на которых можно заработать. Как мне ответили в поддержке что все это работают автоматически программа, но а разве не человек эту программу пишет! Полезный отзыв Это полезный отзыв 5 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",negative,https://dreamjob.ru/employers/25607
Т-Банк,Оператор call-центра,Москва,июнь 2026,Работал 5-10 лет,2.8,"удаленная работа, оплата за гарнитуру, обучение, коллектив и наверное, из плюсов больше ничего","оплата труда, условия работы - нельзя загонять сотрудников неподъемными планами. Штрафы за все Полезный отзыв Это полезный отзыв 8 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Санкт-Петербург, Июнь 2026","удаленная работа, оплата за гарнитуру, обучение, коллектив и наверное, из плюсов больше ничего оплата труда, условия работы - нельзя загонять сотрудников неподъемными планами. Штрафы за все Полезный отзыв Это полезный отзыв 8 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Санкт-Петербург, Июнь 2026",negative,https://dreamjob.ru/employers/25607
Т-Банк,Специалист фрод-мониторинга,Пожаловаться Работал меньше года Санкт-Петербург,июнь 2026,Работал меньше года,5.0,"Очень хорошая система обучения и подготовки. Наглядно, плюс онлайн площадки, + наставники которые всегда знают ответ на твой вопрос и всегда помогают.","Компенсация затрат на фитнес-клубы, была бы супер к месту, учитывая что работа за компьютером. А так, в целом, предложить нечего. Очень грустно, что это место работы у меня «бывшее» Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Очень хорошая система обучения и подготовки. Наглядно, плюс онлайн площадки, + наставники которые всегда знают ответ на твой вопрос и всегда помогают. Компенсация затрат на фитнес-клубы, была бы супер к месту, учитывая что работа за компьютером. А так, в целом, предложить нечего. Очень грустно, что это место работы у меня «бывшее» Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Ведущий менеджер по работе со средним и крупным бизнесом,Москва,июнь 2026,Работал 1-2 года,3.5,"Современный офис, чай, батончики и фрукты. Оклад норм, по мотивации вопросы, премию задерживают неделями","Лучше условия для клиентов, чтобы сотрудникам было с чем работать, наладить бизнес процессы между подразделениями Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Зарплаты по популярным должностям в Т-Банк Указанные значения зарплат были высчитаны на основе отзывов пользователей, рыночных оценок зарплат и алгоритмов машинного обучения. Указанные значения зарплат были высчитаны на основе отзывов пользователей, рыночных оценок зарплат и алгоритмов машинного обучения. Понятно Все Специалист по работе с клиентами на основании 607 отзывов 30 000 ₽ 50 000 ₽ Усредненная зарплата 40 000 ₽ Представитель банка на основании 546 отзывов 50 000 ₽ 100 000 ₽ Усредненная зарплата 75 000 ₽ Оператор call-центра на основании 362 отзывов 30 000 ₽ 50 000 ₽ Усредненная зарплата 40 000 ₽ Представитель на основании 344 отзывов 50 000 ₽ 100 000 ₽ Усредненная зарплата 75 000 ₽ Менеджер по работе с клиентами на основании 169 отзывов 34 000 ₽ 70 000 ₽ Усредненная зарплата 52 000 ₽ Оператор на основании 160 отзывов 32 000 ₽ 64 000 ₽ Усредненная зарплата 48 000 ₽ Посмотреть еще зарплаты Посмотреть все зарплаты (5 268) Москва, Июнь 2026","Современный офис, чай, батончики и фрукты. Оклад норм, по мотивации вопросы, премию задерживают неделями Лучше условия для клиентов, чтобы сотрудникам было с чем работать, наладить бизнес процессы между подразделениями Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Зарплаты по популярным должностям в Т-Банк Указанные значения зарплат были высчитаны на основе отзывов пользователей, рыночных оценок зарплат и алгоритмов машинного обучения. Указанные значения зарплат были высчитаны на основе отзывов пользователей, рыночных оценок зарплат и алгоритмов машинного обучения. Понятно Все Специалист по работе с клиентами на основании 607 отзывов 30 000 ₽ 50 000 ₽ Усредненная зарплата 40 000 ₽ Представитель банка на основании 546 отзывов 50 000 ₽ 100 000 ₽ Усредненная зарплата 75 000 ₽ Оператор call-центра на основании 362 отзывов 30 000 ₽ 50 000 ₽ Усредненная зарплата 40 000 ₽ Представитель на основании 344 отзывов 50 000 ₽ 100 000 ₽ Усредненная зарплата 75 000 ₽ Менеджер по работе с клиентами на основании 169 отзывов 34 000 ₽ 70 000 ₽ Усредненная зарплата 52 000 ₽ Оператор на основании 160 отзывов 32 000 ₽ 64 000 ₽ Усредненная зарплата 48 000 ₽ Посмотреть еще зарплаты Посмотреть все зарплаты (5 268) Москва, Июнь 2026",neutral,https://dreamjob.ru/employers/25607
